9,An Phú,An Giang,An Giang
104,Châu Đốc,An Giang,An Giang
106,Châu Phú,An Giang,An Giang
107,Châu Thành,An Giang,An Giang
125,Chợ Mới,An Giang,An Giang
348,Long Xuyên,An Giang,An Giang
452,Phú Tân,An Giang,An Giang
542,Tân Châu,An Giang,An Giang
595,Thoại Sơn,An Giang,An Giang
620,Tịnh Biên,An Giang,An Giang
633,Tri Tôn,An Giang,An Giang
134,Côn Đảo,Bà Rịa - Vũng Tàu,Ba Ria-Vung Tau
174,Đất Đỏ,Bà Rịa - Vũng Tàu,Ba Ria-Vung Tau
554,Tân Thành,Bà Rịa - Vũng Tàu,Ba Ria-Vung Tau
692,Vũng Tàu,Bà Rịa - Vũng Tàu,Ba Ria-Vung Tau
696,Xuyên Mộc,Bà Rịa - Vũng Tàu,Ba Ria-Vung Tau
20,Bà Rịa,Bà Rịa - Vũng Tàu,Ba Ria-Vung Tau
105,Châu Đức,Bà Rịa - Vũng Tàu,Ba Ria-Vung Tau
341,Long Điền,Bà Rịa - Vũng Tàu,Ba Ria-Vung Tau
35,Bắc Giang,Bắc Giang,Bắc Giang
250,Hiệp Hòa,Bắc Giang,Bắc Giang
328,Lạng Giang,Bắc Giang,Bắc Giang
352,Lục Nam,Bắc Giang,Bắc Giang
353,Lục Ngạn,Bắc Giang,Bắc Giang
521,Sơn Động,Bắc Giang,Bắc Giang
559,Tân Yên,Bắc Giang,Bắc Giang
672,Việt Yên,Bắc Giang,Bắc Giang
701,Yên Dũng,Bắc Giang,Bắc Giang
712,Yên Thế,Bắc Giang,Bắc Giang
13,Ba Bể,Bắc Kạn,Bắc Kạn
25,Bạch Thông,Bắc Kạn,Bắc Kạn
37,Bắc Kạn,Bắc Kạn,Bắc Kạn
121,Chợ Đồn,Bắc Kạn,Bắc Kạn
124,Chợ Mới,Bắc Kạn,Bắc Kạn
390,Na Rì,Bắc Kạn,Bắc Kạn
405,Ngân Sơn,Bắc Kạn,Bắc Kạn
435,Pác Nặm,Bắc Kạn,Bắc Kạn
23,Bạc Liêu,Bạc Liêu,Bac Lieu
188,Đông Hải,Bạc Liêu,Bac Lieu
216,Giá Rai,Bạc Liêu,Bac Lieu
253,Hòa Bình,Bạc Liêu,Bac Lieu
272,Hồng Dân,Bạc Liêu,Bac Lieu
469,Phước Long,Bạc Liêu,Bac Lieu
681,Vĩnh Lợi,Bạc Liêu,Bac Lieu
39,Bắc Ninh,Bắc Ninh,Bắc Ninh
211,Gia Bình,Bắc Ninh,Bắc Ninh
356,Lương Tài,Bắc Ninh,Bắc Ninh
498,Quế Võ,Bắc Ninh,Bắc Ninh
608,Thuận Thành,Bắc Ninh,Bắc Ninh
612,Tiên Du,Bắc Ninh,Bắc Ninh
651,Từ Sơn,Bắc Ninh,Bắc Ninh
709,Yên Phong,Bắc Ninh,Bắc Ninh
18,Ba Tri,Bến Tre,Bến Tre
49,Bến Tre,Bến Tre,Bến Tre
53,Bình Đại,Bến Tre,Bến Tre
108,Châu Thành,Bến Tre,Bến Tre
123,Chợ Lách,Bến Tre,Bến Tre
221,Giồng Trôm,Bến Tre,Bến Tre
368,Mỏ Cày Bắc,Bến Tre,Bến Tre
369,Mỏ Cày Nam,Bến Tre,Bến Tre
589,Thạnh Phú,Bến Tre,Bến Tre
6,An Lão,Bình Định,Bình Định
8,An Nhơn,Bình Định,Bình Định
257,Hoài Ân,Bình Định,Bình Định
259,Hoài Nhơn,Bình Định,Bình Định
458,Phù Cát,Bình Định,Bình Định
460,Phù Mỹ,Bình Định,Bình Định
499,Quy Nhơn,Bình Định,Bình Định
564,Tây Sơn,Bình Định,Bình Định
646,Tuy Phước,Bình Định,Bình Định
665,Vân Canh,Bình Định,Bình Định
682,Vĩnh Thạnh,Bình Định,Bình Định
33,Bàu Bàng,Bình Dương,Bình Dương
42,Bắc Tân Uyên,Bình Dương,Bình Dương
46,Bến Cát,Bình Dương,Bình Dương
143,Dầu Tiếng,Bình Dương,Bình Dương
145,Dĩ An,Bình Dương,Bình Dương
443,Phú Giáo,Bình Dương,Bình Dương
557,Tân Uyên,Bình Dương,Bình Dương
601,Thủ Dầu Một,Bình Dương,Bình Dương
604,Thuận An,Bình Dương,Bình Dương
57,Bình Long,Bình Phước,Bình Phước
67,Bù Đăng,Bình Phước,Bình Phước
68,Bù Đốp,Bình Phước,Bình Phước
69,Bù Gia Mập,Bình Phước,Bình Phước
126,Chơn Thành,Bình Phước,Bình Phước
195,Đồng Phú,Bình Phước,Bình Phước
197,Đồng Xoài,Bình Phước,Bình Phước
269,Hớn Quản,Bình Phước,Bình Phước
351,Lộc Ninh,Bình Phước,Bình Phước
451,Phú Riềng,Bình Phước,Bình Phước
468,Phước Long,Bình Phước,Bình Phước
34,Bắc Bình,Bình Thuận,Bình Thuận
204,Đức Linh,Bình Thuận,Bình Thuận
244,Hàm Tân,Bình Thuận,Bình Thuận
245,Hàm Thuận Bắc,Bình Thuận,Bình Thuận
246,Hàm Thuận Nam,Bình Thuận,Bình Thuận
321,La Gi,Bình Thuận,Bình Thuận
437,Phan Thiết,Bình Thuận,Bình Thuận
449,Phú Quý,Bình Thuận,Bình Thuận
538,Tánh Linh,Bình Thuận,Bình Thuận
645,Tuy Phong,Bình Thuận,Bình Thuận
73,Cà Mau,Cà Mau,Cà Mau
77,Cái Nước,Cà Mau,Cà Mau
171,Đầm Dơi,Cà Mau,Cà Mau
399,Năm Căn,Cà Mau,Cà Mau
